Week,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
1,Tampa Bay,Cleveland,Las Vegas,Arizona,Washington,Tennessee,Green Bay,L.A. Rams,Baltimore,Minnesota
2,Cincinnati,N.Y. Giants,L.A. Rams,New England,Buffalo,Baltimore,Carolina,Philadelphia,Atlanta,Tampa Bay
3,Cleveland,Indianapolis,Pittsburgh,Philadelphia,N.Y. Jets,Jacksonville,Chicago,Arizona,Kansas City,Detroit
4,Pittsburgh,Atlanta,New Orleans,Detroit,New England,Philadelphia,L.A. Rams,Kansas City,Dallas,Denver
5,Minnesota,Dallas,Denver,Indianapolis,Houston,Tennessee,Tampa Bay,Washington,New England,Jacksonville
6,N.Y. Jets,Arizona,Pittsburgh,Carolina,New England,Seattle,Cincinnati,Tampa Bay,Kansas City,Chicago
7,Chicago,Cleveland,New England,Philadelphia,N.Y. Giants,Indianapolis,Dallas,Arizona,San Francisco,Detroit
8,Miami,New England,Buffalo,Baltimore,Houston,Tampa Bay,Denver,Indianapolis,Green Bay,Kansas City
9,Chicago,Minnesota,Atlanta,San Francisco,Denver,Pittsburgh,L.V. Raiders,Buffalo,Seattle,Arizona
10,N.Y. Giants,Baltimore,N.Y. Jets,New England,New Orleans,Seattle,L.A. Rams,Detroit,L.A. Chargers,Philadelphia
11,Pittsburgh,Buffalo,N.Y. Giants,Chicago,Seattle,San Francisco,Cleveland,Denver,Philadelphia,Dallas
12,Chicago,N.Y. Giants,Indianapolis,Cincinnati,Cleveland,Jacksonville,Dallas,Atlanta,L.A. Rams,San Francisco
13,Green Bay,Dallas,San Francisco,Houston,N.Y. Jets,Seattle, Buffalo, L.A. Chargers,Washington, New England
14,Seattle,Cincinnati,Tennessee,Miami,Jacksonville,Pittsburgh,Green Bay,L.A. Rams,Houston
15,Chicago,Baltimore, L.A. Chargers, Buffalo, Washington, Denver, L.A. Rams, New Orleans
